Symbol,Company Name,LTP,% Change,Open,High,Low,Quantity,Trend
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1018.0,0.69,1025.0,1016.0,1017.0,1706,increase
ADBL,Agriculture Development Bank Limited,328.9,1.36,330.0,322.1,330.0,192110,increase
AHL,Asian Hydropower Limited,607.0,-0.33,612.0,600.0,600.1,4824,decrease
AHPC,Arun Valley Hydropower Development Co. Ltd.,285.0,-0.31,287.0,284.0,286.0,75785,decrease
AKJCL,Ankhu Khola Jalvidhyut Company Ltd,192.0,0.52,194.0,191.1,192.0,58816,increase
AKPL,Arun Kabeli Power Ltd.,250.0,0.81,252.5,249.0,250.0,137137,increase
ALBSL,Asha Laghubitta Bittiya Sanstha Limited,1120.0,1.08,1152.0,1085.9,1085.9,42444,increase
ALICL,Asian Life Insurance Co. Limited,486.0,-1.02,493.0,481.4,493.0,58238,decrease
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,6449.0,1.83,6449.0,5961.4,6206.3,82,increase
API,Api Power Company Ltd.,293.0,0.1,298.0,291.8,292.7,157671,increase
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,985.0,-1.39,1009.0,984.0,984.0,1927,decrease
BANDIPUR,Bandipur Cablecar and Tourism Limited,758.1,-0.66,765.0,750.1,763.1,170479,decrease
BARUN,Barun Hydropower Co. Ltd.,353.9,-1.42,365.0,351.0,351.9,378584,decrease
BBC,Bishal Bazar Company Limited,4928.0,-0.22,5000.0,4890.1,4990.0,251,decrease
BEDC, Bhugol Energy Development Company Limited ,575.0,-0.52,580.0,571.0,573.0,13670,decrease
BFC,Best Finance Company Ltd.,472.9,-0.65,483.9,467.0,467.0,15579,decrease
BGWT,Bhagawati Hydropower Development Company Ltd.,785.0,2.19,785.0,760.0,768.0,3008,increase
BHCL,Bikash Hydropower Company Limited,487.8,0.91,492.7,478.1,485.0,73026,increase
BHDC,Bindyabasini Hydropower Development Company Limited,505.0,-0.96,514.8,497.1,508.0,47728,decrease
BHL,Balephi Hydropower Limited,182.3,0.39,182.8,178.1,178.1,182994,increase
BHPL,Barahi Hydropower Public Limited,667.6,-0.37,678.9,658.0,658.0,2303,decrease
BNHC,Buddhabhumi Nepal Hydropower Company Limited,451.0,0.22,453.0,443.3,451.0,16340,increase
BNL,Bottlers Nepal ,16243.5,-0.04,16243.5,15925.0,15925.0,20,decrease
BNT,Bottlers Nepal ,12180.0,-0.16,12350.0,12140.0,12140.0,377,decrease
BOKD86,8.5% BOK Debenture 2086,1115.0,-1.93,1115.0,1115.0,1115.0,25,decrease
BPCL,Butwal Power Company Limited,727.0,-1.1,747.0,725.4,730.6,52545,decrease
BUNGAL,Bungal Hydro Limited,565.0,-0.63,582.0,558.1,562.59,30000,decrease
C30MF,Citizens Super 30 Mutual Fund,8.89,1.48,8.89,8.85,8.85,600,increase
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,1037.7,0.45,1044.0,1020.0,1030.0,26714,increase
CBLD88,Civil Bank Debenture 2088,1216.0,0.0,1216.0,1216.0,1216.0,40,no-change
CCBD88,Century Debenture 2088,1226.0,-1.53,1240.0,1222.0,1222.0,75,decrease
CFCL,Central Finance Co. Ltd.,484.9,0.54,485.0,477.5,478.0,5789,increase
CGH,Chandragiri Hills Limited,882.1,0.0,898.8,875.4,880.1,26762,no-change
CHCL,Chilime Hydropower Company Limited,505.5,-0.1,514.0,499.1,510.0,38981,decrease
CHDC,CEDB Holdings Limited,2430.0,2.1,2459.0,2361.0,2370.1,65359,increase
CHL,Chhyangdi Hydropower Ltd.,274.7,-2.52,285.0,274.7,285.0,69892,decrease
CIT,Citizen Investment Trust,1883.9,0.21,1884.0,1860.0,1860.0,22421,increase
CITY,City Hotel Limited,538.5,0.54,542.0,527.0,527.0,4407,increase
CKHL,Chirkhwa Hydropower Limited,636.1,0.33,650.0,628.2,628.2,9766,increase
CLI,Citizen Life Insurance Company Limited,496.0,-0.2,499.0,490.0,497.0,46115,decrease
CMF2,CITIZENS MUTUAL FUND 2,9.1,-0.55,9.1,9.1,9.1,600,decrease
CORBL,Corporate Development Bank Limited,1675.0,-0.89,1715.0,1664.1,1714.0,4215,decrease
CREST,Crest Micro Life Insurance Ltd.,1255.1,-0.7,1284.9,1246.0,1280.0,14446,decrease
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,1490.0,-0.67,1500.0,1487.0,1500.0,2443,decrease
CZBIL,Citizen Bank International Limited,200.0,2.04,200.1,194.0,194.0,79270,increase
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,884.0,-0.45,889.0,875.0,875.0,10132,decrease
DHEL,Daramkhola Hydro Energy Limited,574.0,0.53,583.0,566.1,571.0,50931,increase
DHPL,Dibyashwori Hydropower Ltd.,298.7,-0.03,304.0,293.0,293.0,19996,decrease
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1370.0,-2.14,1400.0,1370.0,1372.0,1450,decrease
DOLTI,Dolti Power Company Limited,561.8,0.64,591.6,547.1,547.1,10948,increase
DORDI,Dordi Khola Jal Bidyut Company Limited,270.0,-1.82,275.6,270.0,270.1,117658,decrease
EBL,Everest Bank Limited,661.0,0.15,665.0,653.0,653.0,30238,increase
EBLD85,10.50% Everest Bank Limited Debenture 2085,1161.0,0.52,1161.0,1161.0,1161.0,70,increase
EBLD91,Everest Bank Limited Rinpatra 2091,1085.0,-0.46,1090.0,1081.0,1090.0,100,decrease
EDBL,Excel Development Bank Ltd.,599.0,-2.28,613.0,599.0,603.5,24860,decrease
EHPL,Eastern Hydropower Limited,460.0,0.22,464.9,441.2,449.9,86536,increase
ENL,Emerging Nepal Limited,944.8,2.55,945.0,915.0,915.0,5962,increase
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,853.0,-7.78,906.5,850.0,906.5,87419,decrease
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Ltd.,1120.0,-2.9,1153.5,1120.0,1153.5,1886,decrease
GBBD85,"Garima Debenture, 2085",1116.0,1.92,1116.0,1090.0,1090.0,150,increase
