Symbol,LTP,% Change,Open,High,Low,Quantity
ACLBSL,"1,018.00",0.69,"1,025.00","1,016.00","1,017.00","1,706"
ADBL,328.90,1.36,330.00,322.10,330.00,"192,110"
AHL,607.00,-0.33,612.00,600.00,600.10,"4,824"
AHPC,285.00,-0.31,287.00,284.00,286.00,"75,785"
AKJCL,192.00,0.52,194.00,191.10,192.00,"58,816"
AKPL,250.00,0.81,252.50,249.00,250.00,"137,137"
ALBSL,"1,120.00",1.08,"1,152.00","1,085.90","1,085.90","42,444"
ALICL,486.00,-1.02,493.00,481.40,493.00,"58,238"
ANLB,"6,449.00",1.83,"6,449.00","5,961.40","6,206.30",82
API,293.00,0.1,298.00,291.80,292.70,"157,671"
AVYAN,985.00,-1.39,"1,009.00",984.00,984.00,"1,927"
BANDIPUR,758.10,-0.66,765.00,750.10,763.10,"170,479"
BARUN,353.90,-1.42,365.00,351.00,351.90,"378,584"
BBC,"4,928.00",-0.22,"5,000.00","4,890.10","4,990.00",251
BEDC,575.00,-0.52,580.00,571.00,573.00,"13,670"
BFC,472.90,-0.65,483.90,467.00,467.00,"15,579"
BGWT,785.00,2.19,785.00,760.00,768.00,"3,008"
BHCL,487.80,0.91,492.70,478.10,485.00,"73,026"
BHDC,505.00,-0.96,514.80,497.10,508.00,"47,728"
BHL,182.30,0.39,182.80,178.10,178.10,"182,994"
BHPL,667.60,-0.37,678.90,658.00,658.00,"2,303"
BNHC,451.00,0.22,453.00,443.30,451.00,"16,340"
BNL,"16,243.50",-0.04,"16,243.50","15,925.00","15,925.00",20
BNT,"12,180.00",-0.16,"12,350.00","12,140.00","12,140.00",377
BOKD86,"1,115.00",-1.93,"1,115.00","1,115.00","1,115.00",25
BPCL,727.00,-1.1,747.00,725.40,730.60,"52,545"
BUNGAL,565.00,-0.63,582.00,558.10,562.59,"30,000"
C30MF,8.89,1.48,8.89,8.85,8.85,600
CBBL,"1,037.70",0.45,"1,044.00","1,020.00","1,030.00","26,714"
CBLD88,"1,216.00",0,"1,216.00","1,216.00","1,216.00",40
CCBD88,"1,226.00",-1.53,"1,240.00","1,222.00","1,222.00",75
CFCL,484.90,0.54,485.00,477.50,478.00,"5,789"
CGH,882.10,0,898.80,875.40,880.10,"26,762"
CHCL,505.50,-0.1,514.00,499.10,510.00,"38,981"
CHDC,"2,430.00",2.1,"2,459.00","2,361.00","2,370.10","65,359"
CHL,274.70,-2.52,285.00,274.70,285.00,"69,892"
CIT,"1,883.90",0.21,"1,884.00","1,860.00","1,860.00","22,421"
CITY,538.50,0.54,542.00,527.00,527.00,"4,407"
CKHL,636.10,0.33,650.00,628.20,628.20,"9,766"
CLI,496.00,-0.2,499.00,490.00,497.00,"46,115"
CMF2,9.10,-0.55,9.10,9.10,9.10,600
CORBL,"1,675.00",-0.89,"1,715.00","1,664.10","1,714.00","4,215"
CREST,"1,255.10",-0.7,"1,284.90","1,246.00","1,280.00","14,446"
CYCL,"1,490.00",-0.67,"1,500.00","1,487.00","1,500.00","2,443"
CZBIL,200.00,2.04,200.10,194.00,194.00,"79,270"
DDBL,884.00,-0.45,889.00,875.00,875.00,"10,132"
DHEL,574.00,0.53,583.00,566.10,571.00,"50,931"
DHPL,298.70,-0.03,304.00,293.00,293.00,"19,996"
DLBS,"1,370.00",-2.14,"1,400.00","1,370.00","1,372.00","1,450"
DOLTI,561.80,0.64,591.60,547.10,547.10,"10,948"
DORDI,270.00,-1.82,275.60,270.00,270.10,"117,658"
EBL,661.00,0.15,665.00,653.00,653.00,"30,238"
EBLD85,"1,161.00",0.52,"1,161.00","1,161.00","1,161.00",70
EBLD91,"1,085.00",-0.46,"1,090.00","1,081.00","1,090.00",100
EDBL,599.00,-2.28,613.00,599.00,603.50,"24,860"
EHPL,460.00,0.22,464.90,441.20,449.90,"86,536"
ENL,944.80,2.55,945.00,915.00,915.00,"5,962"
FMDBL,853.00,-7.78,906.50,850.00,906.50,"87,419"
FOWAD,"1,120.00",-2.9,"1,153.50","1,120.00","1,153.50","1,886"
GBBD85,"1,116.00",1.92,"1,116.00","1,090.00","1,090.00",150
GBBL,386.90,-0.41,390.00,385.00,385.60,"22,844"
GBILD84/85,"1,157.70",0,"1,157.70","1,157.70","1,157.70",25
GBIME,230.70,0.44,232.00,228.00,230.90,"91,962"
GBIMESY2,9.25,5.23,9.25,8.70,8.70,"3,080"
GCIL,454.30,-1.2,462.00,451.10,462.00,"18,783"
GFCL,590.00,-1.17,600.00,589.00,598.80,"11,137"
GHL,219.70,0.92,220.30,216.00,217.00,"49,563"
GIBF1,10.01,0.91,10.11,9.96,9.96,"27,150"
GILB,"1,299.00",-1.96,"1,325.00","1,299.00","1,324.90","1,938"
GLBSL,"2,009.20",-0.24,"2,045.00","2,008.00","2,014.00",692
GLH,259.70,-0.15,263.00,259.40,263.00,"26,919"
GMFBS,"1,621.00",5.6,"1,621.00","1,512.20","1,520.00","1,909"
GMFIL,452.50,0.24,454.00,445.00,445.10,"10,759"
GMLI,"1,870.00",-0.95,"1,900.00","1,861.00","1,871.00","3,064"
GRDBL,"1,140.00",1.97,"1,145.00","1,103.00","1,140.00","23,324"
GSY,9.00,0.78,9.10,8.80,8.80,"6,700"
GUFL,510.00,-1.54,528.20,508.00,528.20,"7,417"
GVL,545.90,1.7,546.00,538.00,538.50,"65,497"
H8020,10.61,-0.84,10.61,10.60,10.60,"6,745"
HATHY,928.00,-0.54,936.00,925.00,933.00,"7,734"
HBL,198.90,3.06,200.00,190.20,193.00,"101,590"
HDHPC,196.80,5.81,197.00,182.60,189.00,"433,031"
HDL,"1,210.00",-1.79,"1,256.60","1,207.10","1,256.60","117,994"
HEI,506.00,0.6,506.00,500.50,505.90,"3,221"
HEIP,328.00,0.89,328.00,328.00,328.00,300
HHL,360.00,4.65,363.00,345.00,345.00,"122,172"
HIDCL,278.00,-0.71,281.80,277.00,277.40,"234,751"
HIDCLP,190.00,1.01,191.50,188.20,189.70,"228,894"
HIMSTAR,865.00,-7.78,973.00,865.00,919.30,"44,361"
HLBSL,940.00,-1.36,941.00,934.00,941.00,"3,140"
HLI,389.90,-0.1,391.90,386.10,390.30,"73,269"
HLICF,9.15,0.44,9.20,9.00,9.00,"4,100"
HPPL,480.30,0.46,515.00,468.90,468.90,"102,213"
HRL,870.00,0,887.40,863.00,887.40,"182,927"
HURJA,231.70,0.35,232.50,230.00,230.10,"64,456"
ICFC,643.00,-0.31,644.00,640.00,641.00,"5,242"
ICFCD88,"1,125.30",1.99,"1,125.00","1,125.00","1,125.00",28
IGI,428.00,-0.44,432.00,424.10,428.70,"10,880"
IHL,560.00,-0.18,561.80,548.00,551.00,"7,297"
ILBS,"1,134.00",-0.26,"1,135.90","1,123.00","1,135.00","8,736"
ILI,480.00,0.84,480.00,475.00,478.00,"56,766"
JBBL,328.00,1.08,331.30,318.10,318.10,"76,573"
JBLB,"1,542.00",-1.15,"1,569.00","1,541.00","1,555.00","12,587"
JBLBP,100.00,0,100.00,100.00,100.00,"2,200"
JFL,427.00,-1.39,436.00,426.50,430.00,"10,665"
JHAPA,733.40,9.99,733.40,680.10,680.10,940
JOSHI,344.10,-3.61,377.60,337.20,349.90,"199,337"
JSLBB,"1,267.00",2.05,"1,308.00","1,192.40","1,259.90","2,019"
KBL,190.00,2.21,191.00,184.00,188.00,"264,626"
KBLD89,"1,335.00",3.09,"1,335.00","1,269.10","1,269.10",185
KBLPO,106.90,-1.93,109.00,106.90,109.00,"10,553"
KBSH,"1,795.00",0.84,"1,798.90","1,753.00","1,770.00",581
KDBY,9.30,0.87,9.40,9.10,9.40,"9,060"
KDL,914.00,-0.65,931.00,903.10,929.80,"6,970"
KEF,9.05,1.12,9.05,8.85,8.85,"6,500"
KKHC,256.00,0.79,258.00,253.60,254.00,"9,117"
KMCDB,"1,036.00",0.39,"1,036.00","1,011.40","1,011.40","1,851"
